,dien_tich,mat_tien,huong_nha,lat,long,gia_m2,do_rong_duong_ml,ten_phuong,sodo
12283,72.0,5.083333333333333,KXĐ,21.0059693,105.896559,62.5,Ngõ 1 ô tô,Phường Cự Khối,0
12284,55.0,5.1,KXĐ,21.0621941,105.9163657,42.727273,Ngõ 1 ô tô,Phường Giang Biên,0
12285,108.0,5.116666666666666,KXĐ,21.0542373,105.8869767,46.296296,Ngõ 2 ô tô tránh,Phường Thượng Thanh,1
12286,31.0,5.133333333333334,KXĐ,21.0701691,105.9068373,56.451613,Ngõ 1 ô tô,Phường Đức Giang,0
12287,55.0,5.15,KXĐ,21.0437208,105.9259271,50.909091,Ngõ 1 ô tô,Phường Phúc Lợi,0
12288,60.0,5.166666666666667,KXĐ,21.0405733,105.8776605,94.166667,Ngõ 2 ô tô tránh,Phường Bồ Đề,1
12289,80.0,5.183333333333334,KXĐ,21.0617106,105.8944872,65.0,Ngõ 1 ô tô,Phường Việt Hưng,1
12290,35.0,5.2,KXĐ,21.022188,105.9078461,53.142857,Ngõ 1 ô tô,Phường Thạch Bàn,1
12291,140.0,5.216666666666667,KXĐ,21.0339679,105.9061465,70.0,Ngõ 1 ô tô,Phường Thạch Bàn,1
12292,35.0,5.233333333333333,KXĐ,21.022188,105.9078461,53.142857,Ngõ 1 ô tô,Phường Thạch Bàn,1
12293,58.0,5.25,KXĐ,21.0404889,105.8735636,89.655172,Ngõ 1 ô tô,Phường Bồ Đề,1
12294,105.0,5.266666666666667,KXĐ,21.0218618,105.9085869,50.952381,Ngõ 1 ô tô,Phường Thạch Bàn,1
12295,82.0,5.283333333333333,KXĐ,21.0371784,105.8730678,129.268293,Ngõ 1 ô tô,Phường Bồ Đề,1
12296,38.0,5.3,KXĐ,21.0448412,105.8686635,100.0,Ngõ 1 ô tô,Phường Ngọc Lâm,1
12297,52.0,5.316666666666666,KXĐ,21.0098329,105.9051712,46.153846,Ngõ 1 ô tô,Phường Cự Khối,0
12298,100.0,5.333333333333333,KXĐ,21.0655013,105.8883137,36.0,Ngõ 1 ô tô,Phường Đức Giang,1
12299,30.0,5.35,KXĐ,21.0437208,105.9259271,36.666667,Ngõ 1 ô tô,Phường Phúc Lợi,0
12300,32.0,5.366666666666666,KXĐ,21.0741413,105.9031664,53.125,Ngõ 1 ô tô,Phường Thượng Thanh,0
12303,83.0,5.416666666666667,KXĐ,21.0405733,105.8776605,120.481928,Ngõ 1 ô tô,Phường Bồ Đề,1
12304,42.0,5.433333333333334,KXĐ,21.026428,105.8930876,54.761905,Ngõ 1 ô tô,Phường Long Biên,1
12305,116.0,5.45,Tây Bắc,21.0621941,105.9163657,42.931034,Ngõ 1 ô tô,Phường Giang Biên,1
12306,90.0,5.466666666666667,KXĐ,21.022304,105.9085337,95.555556,Ngõ 1 ô tô,Phường Thạch Bàn,1
12307,38.0,5.483333333333333,Tây Nam,21.0368204,105.8997652,88.684211,Ngõ 1 ô tô,Phường Phúc Đồng,1
12308,45.0,5.5,KXĐ,21.0448412,105.8686635,43.333333333333336,Ngõ 1 ô tô,Phường Long Biên,0
12309,45.0,6.25,KXĐ,21.0218618,105.9085869,33.333333,Ngõ 1 ô tô,Phường Thạch Bàn,0
12311,42.0,7.177777777777778,KXĐ,21.011914,105.858329,54.761905,Ngõ 1 ô tô,Phường Long Biên,1
12312,130.0,7.355555555555555,KXĐ,21.0260537,105.8985417,17.307692,Ngõ 4 ô tô trở lên,Phường Thạch Bàn,0
12313,35.0,7.533333333333333,KXĐ,21.0218618,105.9085869,42.857143,Ngõ 1 ô tô,Phường Thạch Bàn,0
12314,50.0,7.711111111111111,KXĐ,21.029229,105.8852726,58.0,Ngõ 1 ô tô,Phường Long Biên,0
12315,93.0,7.888888888888889,KXĐ,21.0625626,105.8801066,66.666667,Ngõ 1 ô tô,Phường Ngọc Thụy,0
12316,92.0,8.066666666666666,KXĐ,21.0617106,105.8944872,64.130435,Ngõ 1 ô tô,Phường Việt Hưng,0
12317,54.0,8.244444444444444,KXĐ,21.0349208,105.919251,47.222222,Ngõ 1 ô tô,Phường Sài Đồng,0
12318,50.0,8.422222222222222,KXĐ,21.0349208,105.919251,50.0,Ngõ 1 ô tô,Phường Sài Đồng,0
12319,48.0,8.6,KXĐ,21.0574877,105.8870246,50.0,Ngõ 1 ô tô,Phường Thượng Thanh,0
12320,56.0,8.777777777777779,KXĐ,21.0655013,105.8883137,44.642857,Ngõ 1 ô tô,Phường Thượng Thanh,1
12321,100.0,8.955555555555556,KXĐ,21.0396348,105.8824499,116.0,Ngõ 1 ô tô,Phường Bồ Đề,1
12322,44.0,9.133333333333333,KXĐ,21.0280679,105.8923763,93.181818,Ngõ 1 ô tô,Phường Thạch Bàn,0
12324,124.0,9.488888888888889,KXĐ,21.0292284,105.885724,56.048387,Ngõ 2 ô tô tránh,Phường Long Biên,1
12325,140.0,9.666666666666668,KXĐ,21.0292284,105.885724,62.142857,Ngõ 2 ô tô tránh,Phường Long Biên,1
12356,60.0,6.0,Đông,21.0521972,105.8649725,60.0,Ngõ 1 ô tô,Phường Ngọc Thụy,0
12357,125.5,8.5,Tây Bắc,21.0089112,105.9104311,36.01593625498008,Ngõ ngách,Phường Long Biên,0
12358,40.0,3.46,Tây,21.0674567,105.9200531,69.0,Ngõ 4 ô tô trở lên,Phường Giang Biên,0
12359,60.5,3.7,KXĐ,21.0674567,105.9200531,45.5,Ngõ 1 ô tô,Phường Giang Biên,1
12361,142.0,3.6500000000000004,KXĐ,21.056789,105.8895026,78.169014,Ngõ 1 ô tô,Phường Đức Giang,1
12362,80.0,3.625,KXĐ,21.0371784,105.8730678,125.0,Ngõ 1 ô tô,Phường Bồ Đề,1
12363,91.0,3.6,KXĐ,21.0750248,105.8920187,40.10989,Ngõ 1 ô tô,Phường Thượng Thanh,1
12364,86.0,3.575,KXĐ,21.0405589,105.9272486,30.232558,Ngõ 1 ô tô,Phường Phúc Lợi,1
12366,58.0,3.525,KXĐ,21.0495394,105.8834124,113.793103,Ngõ 1 ô tô,Phường Gia Thụy,1
12367,53.0,3.5,KXĐ,21.0674567,105.9200531,28.0,Ngõ ngách,Phường Long Biên,0
12368,42.0,3.3,KXĐ,21.0674567,105.9200531,36.0,Ngõ 1 ô tô,Phường Long Biên,0
12369,35.0,4.65,KXĐ,21.0521972,105.8649725,57.142857142857146,Ngõ 1 ô tô,Phường Ngọc Thụy,0
12371,140.0,9.0,KXĐ,21.0618841,105.8824634,58.57142857142857,Ngõ 1 ô tô,Phường Thượng Thanh,1
12372,103.0,7.666666666666667,KXĐ,21.056117,105.8658584,63.106796,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12373,35.0,6.333333333333334,KXĐ,21.0588582,105.8583873,59.428571,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12374,92.0,5.0,KXĐ,21.0763312,105.8950856,67.93478260869566,Ngõ 1 ô tô,Phường Thượng Thanh,1
12375,110.0,6.7,KXĐ,21.0218618,105.9085869,96.36363636363636,Ngõ 1 ô tô,Phường Thạch Bàn,1
12376,40.0,4.84,Tây,21.0233526,105.9079671,60.0,Ngõ 1 ô tô,Phường Thạch Bàn,0
12377,54.0,4.76,KXĐ,21.016256,105.9180077,60.0,Ngõ 1 ô tô,Phường Thạch Bàn,0
12378,60.0,4.68,KXĐ,21.0018583,105.901698,30.0,Ngõ 1 ô tô,Phường Cự Khối,1
12379,85.0,4.6,KXĐ,21.0308856,105.8995024,74.117647,Ngõ 1 ô tô,Phường Phúc Đồng,0
12380,40.0,4.5200000000000005,Đông Bắc,21.0250451,105.9078847,41.25,Ngõ 1 ô tô,Phường Thạch Bàn,1
12381,42.0,4.44,Tây Nam,21.0267838,105.8922816,57.142857,Ngõ 1 ô tô,Phường Long Biên,1
12382,71.0,4.36,Đông Nam,21.0250451,105.9078847,77.464789,Ngõ 1 ô tô,Phường Thạch Bàn,1
12383,60.0,4.28,KXĐ,21.0059693,105.896559,53.333333333333336,Ngõ 1 ô tô,Phường Long Biên,0
12386,42.0,4.0,Đông Nam,21.0779236,105.8458552,50.90909090909091,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12387,90.5,4.2,KXĐ,21.056117,105.8658584,65.19337016574586,Ngõ 1 ô tô,Phường Ngọc Thụy,1
12388,30.0,4.83,Đông Nam,21.0437208,105.9259271,64.0,Ngõ 1 ô tô,Phường Long Biên,1
12389,65.2,5.5,KXĐ,21.0233526,105.9079671,80.0,Ngõ 4 ô tô trở lên,Phường Long Biên,0
